[2024-01-22 03:42:30,131][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:42:30,131][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:42:30,138][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:42:30,138][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:42:30,146][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:42:30,146][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:43:29,165][ WARN][ffmpeg_video_muxer.cc:78  ] Success: video stream has been written to rtsp://192.168.3.36:8554/outstream
[2024-01-22 03:43:29,167][ERROR][flow_scheduler.cc:438 ] the scheduler caught an error : Stop operation
[2024-01-22 03:43:43,639][ WARN][    iva_config.cc:143 ] update vas url failed. Fault, no vas projectid or iva endpoint
[2024-01-22 03:43:43,640][ WARN][         timer.cc:208 ] Schedule timer failed, timer is not running.
[2024-01-22 03:43:45,377][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:43:45,377][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:43:45,383][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:43:45,384][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:43:45,390][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:43:45,390][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:43:45,396][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:43:45,396][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:43:45,403][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:43:45,404][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:43:45,431][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:43:45,431][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
